cycle,layer_name,layer_type,layer_power_including_idle_power_micro_watt,layer_power_excluding_idle_power_micro_watt,layer_run_time
15927,_classifer_fc2,Linear,,,0.016256000846624374
15927,_classifer_fc3,Linear,,,0.016383999958634377
15928,_feat_conv1,Conv2d,,,0.06972800195217133
15928,_feat_conv2,Conv2d,,,0.06870400160551071
15928,_classifer_fc1,Linear,,,0.024320000782608986
15928,_classifer_fc2,Linear,,,0.016224000602960587
15928,_classifer_fc3,Linear,,,0.012608000077307224
15929,_feat_conv1,Conv2d,,,0.06867200136184692
15929,_feat_conv2,Conv2d,,,0.077504001557827
15929,_classifer_fc1,Linear,,,0.024000000208616257
15929,_classifer_fc2,Linear,,,0.016256000846624374
15929,_classifer_fc3,Linear,,,0.012736000120639801
15930,_feat_conv1,Conv2d,,,0.06835199892520905
15930,_feat_conv2,Conv2d,,,0.07161600142717361
15930,_classifer_fc1,Linear,,,0.02396799996495247
15930,_classifer_fc2,Linear,,,0.0161920003592968
15930,_classifer_fc3,Linear,,,0.016416000202298164
15931,_feat_conv1,Conv2d,,,0.0697920024394989
15931,_feat_conv2,Conv2d,,,0.07123199850320816
15931,_classifer_fc1,Linear,,,0.023903999477624893
15931,_classifer_fc2,Linear,7102656.0,2920332.201034292,0.0161920003592968
15931,_classifer_fc3,Linear,,,0.012640000320971012
15932,_feat_conv1,Conv2d,,,0.0676800012588501
15932,_feat_conv2,Conv2d,,,0.07491199672222137
15932,_classifer_fc1,Linear,,,0.024159999564290047
15932,_classifer_fc2,Linear,,,0.016224000602960587
15932,_classifer_fc3,Linear,,,0.01651199907064438
15933,_feat_conv1,Conv2d,,,0.9258559942245483
15933,_feat_conv2,Conv2d,,,0.07091200351715088
15933,_classifer_fc1,Linear,,,0.024512000381946564
15933,_classifer_fc2,Linear,,,0.016256000846624374
15933,_classifer_fc3,Linear,,,0.01616000011563301
15934,_feat_conv1,Conv2d,,,0.06940799951553345
15934,_feat_conv2,Conv2d,,,0.0708480030298233
15934,_classifer_fc1,Linear,,,0.024320000782608986
15934,_classifer_fc2,Linear,,,0.0161920003592968
15934,_classifer_fc3,Linear,,,0.01651199907064438
15935,_feat_conv1,Conv2d,,,0.06672000139951706
15935,_feat_conv2,Conv2d,,,0.07094399631023407
15935,_classifer_fc1,Linear,,,0.024927999824285507
15935,_classifer_fc2,Linear,,,0.016383999958634377
15935,_classifer_fc3,Linear,,,0.0161920003592968
15936,_feat_conv1,Conv2d,,,0.06857600063085556
15936,_feat_conv2,Conv2d,,,0.0729919970035553
15936,_classifer_fc1,Linear,,,0.024447999894618988
15936,_classifer_fc2,Linear,,,0.016224000602960587
15936,_classifer_fc3,Linear,,,0.012703999876976013
15937,_feat_conv1,Conv2d,,,0.06992000341415405
15937,_feat_conv2,Conv2d,,,0.07206399738788605
15937,_classifer_fc1,Linear,,,0.023903999477624893
15937,_classifer_fc2,Linear,,,0.016256000846624374
15937,_classifer_fc3,Linear,,,0.01648000068962574
15938,_feat_conv1,Conv2d,,,0.06854400038719177
15938,_feat_conv2,Conv2d,,,0.07180800288915634
15938,_classifer_fc1,Linear,,,0.024512000381946564
15938,_classifer_fc2,Linear,,,0.01616000011563301
15938,_classifer_fc3,Linear,,,0.012575999833643436
15939,_feat_conv1,Conv2d,,,0.06643199920654297
15939,_feat_conv2,Conv2d,,,0.07417599856853485
15939,_classifer_fc1,Linear,,,0.024032000452280045
15939,_classifer_fc2,Linear,,,0.016287999227643013
15939,_classifer_fc3,Linear,,,0.0161920003592968
15940,_feat_conv1,Conv2d,,,0.06838399916887283
15940,_feat_conv2,Conv2d,,,0.0697920024394989
15940,_classifer_fc1,Linear,,,0.024064000695943832
15940,_classifer_fc2,Linear,,,0.016224000602960587
15940,_classifer_fc3,Linear,,,0.012671999633312225
15941,_feat_conv1,Conv2d,7102656.0,2920332.201034292,0.07004799693822861
15941,_feat_conv2,Conv2d,,,0.07465600222349167
15941,_classifer_fc1,Linear,,,0.024000000208616257
15941,_classifer_fc2,Linear,,,0.0161920003592968
15941,_classifer_fc3,Linear,,,0.016607999801635742
15942,_feat_conv1,Conv2d,,,0.06864000111818314
15942,_feat_conv2,Conv2d,,,0.06969600170850754
15942,_classifer_fc1,Linear,,,0.024320000782608986
15942,_classifer_fc2,Linear,,,0.016287999227643013
15942,_classifer_fc3,Linear,,,0.012671999633312225
15943,_feat_conv1,Conv2d,,,0.06867200136184692
15943,_feat_conv2,Conv2d,,,0.07180800288915634
15943,_classifer_fc1,Linear,,,0.024447999894618988
15943,_classifer_fc2,Linear,,,0.016256000846624374
15943,_classifer_fc3,Linear,,,0.016607999801635742
15944,_feat_conv1,Conv2d,,,0.06809599697589874
15944,_feat_conv2,Conv2d,,,0.07398399710655212
15944,_classifer_fc1,Linear,,,0.024447999894618988
15944,_classifer_fc2,Linear,,,0.016224000602960587
15944,_classifer_fc3,Linear,,,0.016383999958634377
15945,_feat_conv1,Conv2d,,,0.069023996591568
15945,_feat_conv2,Conv2d,,,0.0764480009675026
15945,_classifer_fc1,Linear,7102656.0,2920332.201034292,0.02396799996495247
15945,_classifer_fc2,Linear,,,0.0161920003592968
15945,_classifer_fc3,Linear,,,0.01651199907064438
15946,_feat_conv1,Conv2d,,,0.06960000097751617
15946,_feat_conv2,Conv2d,,,0.0737600028514862
15946,_classifer_fc1,Linear,,,0.02412799932062626
15946,_classifer_fc2,Linear,,,0.016224000602960587
15946,_classifer_fc3,Linear,,,0.01648000068962574
15947,_feat_conv1,Conv2d,,,0.06800000369548798
15947,_feat_conv2,Conv2d,,,0.07366400212049484
15947,_classifer_fc1,Linear,,,0.024671999737620354
15947,_classifer_fc2,Linear,,,0.0161920003592968
15947,_classifer_fc3,Linear,,,0.012736000120639801
15948,_feat_conv1,Conv2d,,,0.06838399916887283
15948,_feat_conv2,Conv2d,,,0.07785599678754807
15948,_classifer_fc1,Linear,,,0.024288000538945198
15948,_classifer_fc2,Linear,,,0.016127999871969223
15948,_classifer_fc3,Linear,,,0.012543999589979649
15949,_feat_conv1,Conv2d,,,0.066880002617836
15949,_feat_conv2,Conv2d,,,0.07449600100517273
15949,_classifer_fc1,Linear,,,0.02380800060927868
15949,_classifer_fc2,Linear,,,0.016127999871969223
15949,_classifer_fc3,Linear,,,0.013248000293970108
15950,_feat_conv1,Conv2d,,,0.06963200122117996
15950,_feat_conv2,Conv2d,,,0.07212799787521362
15950,_classifer_fc1,Linear,,,0.024288000538945198
15950,_classifer_fc2,Linear,,,0.0161920003592968
15950,_classifer_fc3,Linear,,,0.012575999833643436
15951,_feat_conv1,Conv2d,,,0.0689919963479042
15951,_feat_conv2,Conv2d,,,0.07772800326347351
15951,_classifer_fc1,Linear,,,0.024000000208616257
15951,_classifer_fc2,Linear,,,0.0161920003592968
15951,_classifer_fc3,Linear,,,0.012640000320971012
15952,_feat_conv1,Conv2d,,,0.06864000111818314
15952,_feat_conv2,Conv2d,,,0.07391999661922455
15952,_classifer_fc1,Linear,,,0.02457600086927414
15952,_classifer_fc2,Linear,,,0.016256000846624374
15952,_classifer_fc3,Linear,,,0.01648000068962574
15953,_feat_conv1,Conv2d,7102656.0,2920332.201034292,0.07001599669456482
15953,_feat_conv2,Conv2d,,,0.07468800246715546
15953,_classifer_fc1,Linear,,,0.024064000695943832
15953,_classifer_fc2,Linear,,,0.016224000602960587
15953,_classifer_fc3,Linear,,,0.012608000077307224
15954,_feat_conv1,Conv2d,,,0.06777600198984146
15954,_feat_conv2,Conv2d,,,0.07103999704122543
15954,_classifer_fc1,Linear,,,0.024383999407291412
15954,_classifer_fc2,Linear,,,0.016095999628305435
15954,_classifer_fc3,Linear,,,0.012959999963641167
15955,_feat_conv1,Conv2d,,,0.06857600063085556
15955,_feat_conv2,Conv2d,,,0.07820799946784973
15955,_classifer_fc1,Linear,,,0.02396799996495247
15955,_classifer_fc2,Linear,,,0.016256000846624374
15955,_classifer_fc3,Linear,,,0.016127999871969223
15956,_feat_conv1,Conv2d,,,0.07004799693822861
15956,_feat_conv2,Conv2d,,,0.07833600044250488
15956,_classifer_fc1,Linear,,,0.0244159996509552
15956,_classifer_fc2,Linear,,,0.0161920003592968
15956,_classifer_fc3,Linear,,,0.01648000068962574
15957,_feat_conv1,Conv2d,,,0.5392320156097412
15957,_feat_conv2,Conv2d,,,0.07308799773454666
15957,_classifer_fc1,Linear,,,0.024447999894618988
15957,_classifer_fc2,Linear,,,0.016287999227643013
15957,_classifer_fc3,Linear,,,0.016383999958634377
15958,_feat_conv1,Conv2d,,,0.0676800012588501
15958,_feat_conv2,Conv2d,,,0.06988800317049026
15958,_classifer_fc1,Linear,,,0.024191999807953835
15958,_classifer_fc2,Linear,,,0.0163199994713068
15958,_classifer_fc3,Linear,,,0.012575999833643436
15959,_feat_conv1,Conv2d,,,0.06960000097751617
15959,_feat_conv2,Conv2d,,,0.07491199672222137
15959,_classifer_fc1,Linear,,,0.024288000538945198
15959,_classifer_fc2,Linear,,,0.016095999628305435
15959,_classifer_fc3,Linear,,,0.016575999557971954
15960,_feat_conv1,Conv2d,,,0.06831999868154526
15960,_feat_conv2,Conv2d,,,0.07129599899053574
15960,_classifer_fc1,Linear,,,0.024351999163627625
15960,_classifer_fc2,Linear,,,0.0161920003592968
15960,_classifer_fc3,Linear,,,0.012543999589979649
15961,_feat_conv1,Conv2d,,,0.06700800359249115
15961,_feat_conv2,Conv2d,,,0.07756800204515457
15961,_classifer_fc1,Linear,,,0.024159999564290047
15961,_classifer_fc2,Linear,,,0.016256000846624374
15961,_classifer_fc3,Linear,,,0.016543999314308167
15962,_feat_conv1,Conv2d,,,0.06851200014352798
15962,_feat_conv2,Conv2d,,,0.070592001080513
15962,_classifer_fc1,Linear,,,0.02457600086927414
15962,_classifer_fc2,Linear,,,0.016383999958634377
15962,_classifer_fc3,Linear,,,0.012736000120639801
15963,_feat_conv1,Conv2d,,,0.06966400146484375
15963,_feat_conv2,Conv2d,,,0.07664000242948532
15963,_classifer_fc1,Linear,,,0.023840000852942467
15963,_classifer_fc2,Linear,,,0.01616000011563301
15963,_classifer_fc3,Linear,,,0.01651199907064438
15964,_feat_conv1,Conv2d,,,0.06876800209283829
15964,_feat_conv2,Conv2d,,,0.07225599884986877
15964,_classifer_fc1,Linear,,,0.024032000452280045
15964,_classifer_fc2,Linear,,,0.016224000602960587
15964,_classifer_fc3,Linear,,,0.012608000077307224
15965,_feat_conv1,Conv2d,,,0.06870400160551071
15965,_feat_conv2,Conv2d,,,0.07519999891519547
15965,_classifer_fc1,Linear,,,0.02409599907696247
15965,_classifer_fc2,Linear,,,0.0163199994713068
15965,_classifer_fc3,Linear,,,0.016607999801635742
